agent1_strategy,agent1_reward,agent2_strategy,agent2_reward,temptation,reward,punishment,sucker,agent1_final_strategy,agent1_defection_ratio,agent2_final_strategy,agent2_defection_ratio,agent1_updating_times,agent2_updating_times,thresh
9006.0,10006.0,9006.0,9006.0,1.01,1.0,0.0,-0.63,1.0,0.8997601270675659,1.0,0.8969618082046509,620.0,620.0,1
6006.0,7006.0,7006.0,6006.0,1.6,1.0,0.0,-0.06,1.0,0.8736796975135803,1.0,0.8936625719070435,640.0,640.0,1
9006.0,7006.0,8006.0,8006.0,1.27,1.0,0.0,-0.28,1.0,0.8847435116767883,1.0,0.8610926270484924,560.0,560.0,1
7006.0,10006.0,7006.0,10006.0,1.62,1.0,0.0,-0.41,0.0,0.170597642660141,0.0,0.1744953095912933,720.0,720.0,1
5006.0,7006.0,5006.0,7006.0,2.65,1.0,0.0,-0.85,1.0,0.938481330871582,1.0,0.9377676248550416,660.0,660.0,1
7006.0,6006.0,8006.0,7006.0,1.32,1.0,0.0,-0.85,1.0,0.8840869069099426,1.0,0.8848363757133484,560.0,560.0,1
10006.0,13006.0,8006.0,13006.0,1.68,1.0,0.0,-0.94,1.0,0.9351837635040284,1.0,0.93718284368515,940.0,940.0,1
10006.0,7006.0,9006.0,10006.0,1.81,1.0,0.0,-0.14,1.0,0.919348418712616,1.0,0.8936638236045837,560.0,560.0,1
6006.0,6006.0,6006.0,6006.0,1.17,1.0,0.0,-0.4,1.0,0.8864468932151794,1.0,0.8701298832893372,520.0,520.0,1
7006.0,7006.0,7006.0,7006.0,1.01,1.0,0.0,-0.3,0.0,0.300171285867691,0.0,0.2256637215614318,520.0,520.0,1
6006.0,6006.0,6006.0,4006.0,1.44,1.0,0.0,-0.98,1.0,0.8911088705062866,1.0,0.8931068778038025,540.0,540.0,1
8006.0,12006.0,8006.0,9006.0,1.01,1.0,0.0,-0.04,0.0,0.3930534720420837,0.0,0.393553227186203,940.0,940.0,1
8006.0,8006.0,8006.0,7006.0,2.07,1.0,0.0,-0.18,1.0,0.8552335500717163,1.0,0.8799650073051453,540.0,540.0,1
7006.0,11006.0,6006.0,11006.0,2.4,1.0,0.0,-0.79,1.0,0.9443030953407288,1.0,0.945393443107605,740.0,740.0,1
8006.0,10006.0,9006.0,7006.0,2.08,1.0,0.0,-0.82,1.0,0.9138516783714294,1.0,0.905356764793396,600.0,600.0,1
8006.0,12006.0,9006.0,11006.0,2.55,1.0,0.0,-0.82,1.0,0.9232050776481628,1.0,0.9247043132781982,820.0,820.0,1
7006.0,7006.0,6006.0,7006.0,2.32,1.0,0.0,-0.7,1.0,0.9133599996566772,1.0,0.9199257493019104,600.0,600.0,1
8006.0,10006.0,8006.0,10006.0,1.12,1.0,0.0,-0.48,1.0,0.9108535051345824,1.0,0.9096542000770568,660.0,660.0,1
8006.0,11006.0,9006.0,11006.0,2.37,1.0,0.0,-0.57,1.0,0.9246774315834044,1.0,0.9264037609100342,760.0,760.0,1
8006.0,9006.0,7006.0,8006.0,1.83,1.0,0.0,-0.71,1.0,0.9317122101783752,1.0,0.9372640252113342,660.0,660.0,1
7006.0,9006.0,7006.0,8006.0,2.08,1.0,0.0,-0.39,1.0,0.9292693734169006,1.0,0.9287142157554626,720.0,720.0,1
8006.0,13006.0,13006.0,14006.0,2.64,1.0,0.0,-0.86,1.0,0.9344566464424132,1.0,0.9342424869537354,920.0,920.0,1
8006.0,7006.0,8006.0,8006.0,1.41,1.0,0.0,-0.71,1.0,0.9028229117393494,1.0,0.9055708050727844,580.0,580.0,1
7006.0,6006.0,8006.0,7006.0,1.01,1.0,0.0,-0.64,1.0,0.9219335317611694,1.0,0.9204346537590028,500.0,500.0,1
6006.0,5006.0,6006.0,5006.0,1.2,1.0,0.0,-0.55,1.0,0.9132534265518188,1.0,0.911255419254303,520.0,520.0,1
7006.0,12006.0,7006.0,10006.0,1.41,1.0,0.0,-0.22,1.0,0.9348658919334412,1.0,0.9244544506072998,940.0,940.0,1
7006.0,10006.0,6006.0,10006.0,2.43,1.0,0.0,-0.8,1.0,0.932240664958954,1.0,0.932540476322174,820.0,820.0,1
10006.0,11006.0,9006.0,13006.0,2.25,1.0,0.0,-0.49,1.0,0.9331846833229064,1.0,0.9332615733146667,760.0,760.0,1
