,agent1_strategy,agent1_reward,agent2_strategy,agent2_reward,temptation,reward,punishment,sucker,agent1_final_strategy,agent1_defection_ratio,agent2_final_strategy,agent2_defection_ratio,agent1_updating_times,agent2_updating_times,model,game
0,3000.0,3000.0,3000.0,3000.0,0.04,1.5,0.0,-0.96,0.0,0.0373333320021629,0.0,0.0379999987781047,2936.0,2936.0,normal,SH
1,3000.0,3000.0,3000.0,3000.0,0.63,3.8,0.0,-0.3700000000000001,0.0,0.032999999821186,0.0,0.0306666661053895,2936.0,2936.0,normal,SH
2,13000.0,14000.0,3000.0,14000.0,0.32,2.93,0.0,-0.6799999999999997,0.0,0.0121428575366735,0.0,0.0124285714700818,13936.0,13936.0,normal,SH
3,11000.0,13000.0,3000.0,13000.0,0.51,2.39,0.0,-0.4899999999999997,0.0,0.049076922237873,0.0,0.0493076927959919,12936.0,12936.0,normal,SH
4,3000.0,3000.0,3000.0,3000.0,0.9,1.0,0.0,-0.48,1.0,0.9456666707992554,1.0,0.9523333311080932,2936.0,2936.0,normal,SH
5,3000.0,2000.0,3000.0,2000.0,0.25,1.0,0.0,-1.13,0.0,0.1153333336114883,0.0,0.1196666657924652,2936.0,2936.0,normal,SH
6,3000.0,9000.0,3000.0,8000.0,0.41,1.0,0.0,-1.36,0.0,0.0211111102253198,0.0,0.0196666661649942,8936.0,7936.0,normal,SH
7,3000.0,3000.0,3000.0,3000.0,0.75,3.46,0.0,-0.25,0.0,0.0406666658818721,0.0,0.0396666675806045,2936.0,2936.0,normal,SH
8,3000.0,3000.0,3000.0,3000.0,0.23,2.4,0.0,-0.77,1.0,0.9490000009536744,1.0,0.9580000042915344,2936.0,2936.0,normal,SH
9,3000.0,2000.0,4000.0,1000.0,0.09,2.83,0.0,-0.91,1.0,0.968500018119812,1.0,0.968999981880188,2936.0,3936.0,normal,SH
10,3000.0,1000.0,3000.0,4000.0,0.29,1.0,0.0,-1.63,1.0,0.9697499871253968,1.0,0.9682499766349792,2936.0,3936.0,normal,SH
11,3000.0,5000.0,3000.0,5000.0,0.17,3.88,0.0,-0.8300000000000001,0.0,0.0255999993532896,0.0,0.0252000000327825,4936.0,4936.0,normal,SH
12,3000.0,4000.0,4000.0,4000.0,0.92,3.33,0.0,-0.08,0.0,0.0350000001490116,0.0,0.0289999991655349,3936.0,3936.0,normal,SH
13,4000.0,5000.0,4000.0,5000.0,0.8,1.0,0.0,-0.35,0.0,0.238999992609024,0.0,0.2373999953269958,4936.0,4936.0,normal,SH
14,3000.0,3000.0,3000.0,3000.0,0.63,1.0,0.0,-0.64,0.0,0.1926666647195816,0.0,0.1996666640043258,2936.0,2936.0,normal,SH
15,4000.0,3000.0,3000.0,5000.0,0.86,1.0,0.0,-0.41,1.0,0.9688000082969666,1.0,0.9729999899864196,3936.0,4936.0,normal,SH
16,3000.0,2000.0,3000.0,2000.0,0.8,1.22,0.0,-0.1999999999999999,0.0,0.0353333316743373,0.0,0.0403333343565464,2936.0,2936.0,normal,SH
17,10000.0,10000.0,3000.0,10000.0,0.19,2.1,0.0,-0.81,0.0,0.0780000016093254,0.0,0.0759000033140182,9936.0,9936.0,normal,SH
18,3000.0,3000.0,3000.0,5000.0,0.88,1.73,0.0,-0.1200000000000001,0.0,0.0289999991655349,0.0,0.025399999693036,2936.0,4936.0,normal,SH
19,3000.0,3000.0,3000.0,3000.0,0.54,1.16,0.0,-0.4599999999999998,1.0,0.9496666789054872,1.0,0.962000012397766,2936.0,2936.0,normal,SH
20,6000.0,6000.0,3000.0,6000.0,0.8,2.45,0.0,-0.2000000000000001,0.0,0.0246666669845581,0.0,0.0263333339244127,5936.0,5936.0,normal,SH
21,3000.0,3000.0,3000.0,3000.0,0.89,1.0,0.0,-0.55,1.0,0.9473333358764648,1.0,0.956333339214325,2936.0,2936.0,normal,SH
22,3000.0,4000.0,3000.0,3000.0,0.32,1.17,0.0,-0.6799999999999999,0.0,0.0405000001192092,0.0,0.0397499985992908,3936.0,2936.0,normal,SH
23,11000.0,15000.0,3000.0,15000.0,0.12,1.47,0.0,-0.88,0.0,0.023199999704957,0.0,0.0236000008881092,14936.0,14936.0,normal,SH
24,3000.0,1000.0,3000.0,1000.0,0.23,1.82,0.0,-0.7699999999999998,1.0,0.9696666598320008,1.0,0.9583333134651184,2936.0,2936.0,normal,SH
25,3000.0,4000.0,3000.0,4000.0,0.43,3.14,0.0,-0.5699999999999998,0.0,0.0324999988079071,0.0,0.0277500003576278,3936.0,3936.0,normal,SH
26,3000.0,3000.0,4000.0,3000.0,0.81,1.0,0.0,-0.3899999999999999,1.0,0.968500018119812,1.0,0.962499976158142,2936.0,3936.0,normal,SH
27,3000.0,11000.0,3000.0,9000.0,0.85,2.06,0.0,-0.1499999999999999,0.0,0.0142727270722389,0.0,0.0142727270722389,10936.0,8936.0,normal,SH
28,3000.0,16000.0,3000.0,16000.0,0.02,2.37,0.0,-0.98,0.0,0.0151249999180436,0.0,0.0148125002160668,15936.0,15936.0,normal,SH
29,3000.0,6000.0,3000.0,3000.0,0.51,1.0,0.0,-1.3,1.0,0.97816663980484,1.0,0.977666676044464,5936.0,2936.0,normal,SH
30,3000.0,6000.0,3000.0,6000.0,0.42,2.43,0.0,-0.5799999999999998,0.0,0.0231666658073663,0.0,0.020833333954215,5936.0,5936.0,normal,SH
31,4000.0,4000.0,3000.0,1000.0,0.23,1.0,0.0,-1.09,1.0,0.9552500247955322,1.0,0.9725000262260436,3936.0,2936.0,normal,SH
32,3000.0,1000.0,3000.0,2000.0,0.13,1.0,0.0,-1.61,1.0,0.9679999947547911,1.0,0.9613333344459534,2936.0,2936.0,normal,SH
33,3000.0,7000.0,3000.0,8000.0,0.34,3.8,0.0,-0.6600000000000001,0.0,0.0216249991208314,0.0,0.0167500004172325,6936.0,7936.0,normal,SH
34,3000.0,8000.0,3000.0,8000.0,0.93,3.86,0.0,-0.0699999999999998,0.0,0.0198749992996454,0.0,0.0182499997317791,7936.0,7936.0,normal,SH
35,3000.0,1000.0,4000.0,1000.0,0.33,3.23,0.0,-0.6699999999999999,1.0,0.9682499766349792,1.0,0.9697499871253968,2936.0,3936.0,normal,SH
36,3000.0,3000.0,3000.0,3000.0,0.52,1.22,0.0,-0.48,0.0,0.1850000023841858,0.0,0.1840000003576278,2936.0,2936.0,normal,SH
37,3000.0,1000.0,3000.0,1000.0,0.7,1.0,0.0,-0.91,1.0,0.9589999914169312,1.0,0.953000009059906,2936.0,2936.0,normal,SH
38,3000.0,3000.0,3000.0,3000.0,0.37,2.74,0.0,-0.6300000000000003,0.0,0.0410000011324882,0.0,0.0419999994337558,2936.0,2936.0,normal,SH
39,3000.0,5000.0,3000.0,5000.0,0.96,1.76,0.0,-0.04,0.0,0.0216000005602836,0.0,0.0230000000447034,4936.0,4936.0,normal,SH
40,3000.0,4000.0,5000.0,5000.0,0.95,1.0,0.0,-0.56,1.0,0.9656000137329102,1.0,0.958400011062622,3936.0,4936.0,normal,SH
41,3000.0,4000.0,3000.0,4000.0,0.26,1.98,0.0,-0.74,0.0,0.026750000193715,0.0,0.032999999821186,3936.0,3936.0,normal,SH
42,3000.0,3000.0,3000.0,1000.0,0.5,1.0,0.0,-1.36,1.0,0.9683333039283752,1.0,0.965666651725769,2936.0,2936.0,normal,SH
43,3000.0,9000.0,6000.0,8000.0,0.3,3.64,0.0,-0.7000000000000002,0.0,0.0525555573403835,0.0,0.0563333332538604,8936.0,7936.0,normal,SH
44,3000.0,1000.0,3000.0,3000.0,0.29,1.04,0.0,-0.7100000000000001,1.0,0.9639999866485596,1.0,0.9603333473205566,2936.0,2936.0,normal,SH
45,3000.0,3000.0,3000.0,4000.0,0.05,2.65,0.0,-0.95,0.0,0.0280000008642673,0.0,0.0292499996721744,2936.0,3936.0,normal,SH
46,3000.0,2000.0,3000.0,4000.0,0.61,1.25,0.0,-0.39,0.0,0.032999999821186,0.0,0.0317500010132789,2936.0,3936.0,normal,SH
47,3000.0,2000.0,3000.0,2000.0,0.5,2.08,0.0,-0.5,0.0,0.0503333322703838,0.0,0.0439999997615814,2936.0,2936.0,normal,SH
48,3000.0,3000.0,3000.0,3000.0,0.06,2.19,0.0,-0.94,0.0,0.0513333342969417,0.0,0.0503333322703838,2936.0,2936.0,normal,SH
49,3000.0,1000.0,4000.0,3000.0,0.28,1.0,0.0,-0.98,1.0,0.9697499871253968,1.0,0.9667500257492064,2936.0,3936.0,normal,SH
50,3000.0,6000.0,3000.0,6000.0,0.9,3.88,0.0,-0.1,0.0,0.025000000372529,0.0,0.0193333327770233,5936.0,5936.0,normal,SH
51,3000.0,7000.0,3000.0,7000.0,0.24,3.1,0.0,-0.7600000000000002,0.0,0.022857142612338,0.0,0.0204285718500614,6936.0,6936.0,normal,SH
52,3000.0,4000.0,3000.0,4000.0,0.15,3.76,0.0,-0.8500000000000001,0.0,0.0264999996870756,0.0,0.0299999993294477,3936.0,3936.0,normal,SH
53,3000.0,4000.0,3000.0,4000.0,0.49,3.58,0.0,-0.5099999999999998,0.0,0.0274999998509883,0.0,0.0309999994933605,3936.0,3936.0,normal,SH
54,3000.0,2000.0,3000.0,3000.0,0.98,2.39,0.0,-0.0199999999999995,0.0,0.0403333343565464,0.0,0.0419999994337558,2936.0,2936.0,normal,SH
55,3000.0,4000.0,3000.0,4000.0,0.25,3.69,0.0,-0.75,0.0,0.0282499995082616,0.0,0.0289999991655349,3936.0,3936.0,normal,SH
56,3000.0,1000.0,3000.0,1000.0,0.67,1.0,0.0,-0.98,1.0,0.9589999914169312,1.0,0.9666666388511658,2936.0,2936.0,normal,SH
57,3000.0,4000.0,3000.0,4000.0,0.76,1.0,0.0,-0.4599999999999999,1.0,0.9652500152587892,1.0,0.9649999737739564,3936.0,3936.0,normal,SH
58,3000.0,1000.0,3000.0,3000.0,0.24,1.0,0.0,-1.58,1.0,0.9663333296775818,1.0,0.9613333344459534,2936.0,2936.0,normal,SH
59,3000.0,2000.0,3000.0,2000.0,0.72,1.3,0.0,-0.28,0.0,0.0356666669249534,0.0,0.036666665226221,2936.0,2936.0,normal,SH
60,3000.0,7000.0,3000.0,7000.0,0.37,1.55,0.0,-0.63,0.0,0.0201428569853305,0.0,0.0184285715222358,6936.0,6936.0,normal,SH
61,3000.0,2000.0,3000.0,4000.0,0.63,1.09,0.0,-0.3700000000000001,0.0,0.0289999991655349,0.0,0.0320000015199184,2936.0,3936.0,normal,SH
62,3000.0,6000.0,3000.0,4000.0,0.63,3.31,0.0,-0.3700000000000001,0.0,0.0240000002086162,0.0,0.0219999998807907,5936.0,3936.0,normal,SH
63,3000.0,2000.0,3000.0,2000.0,0.54,1.43,0.0,-0.4599999999999999,0.0,0.0430000014603138,0.0,0.0373333320021629,2936.0,2936.0,normal,SH
64,5000.0,8000.0,3000.0,7000.0,0.1,1.12,0.0,-0.9000000000000001,0.0,0.0403750017285347,0.0,0.0359999984502792,7936.0,6936.0,normal,SH
65,3000.0,2000.0,3000.0,4000.0,0.83,2.17,0.0,-0.1699999999999999,0.0,0.0252500008791685,0.0,0.0317500010132789,2936.0,3936.0,normal,SH
66,7000.0,9000.0,3000.0,5000.0,0.32,1.0,0.0,-1.12,0.0,0.0240000002086162,0.0,0.0277777779847383,8936.0,4936.0,normal,SH
67,3000.0,16000.0,11000.0,16000.0,0.19,3.21,0.0,-0.81,0.0,0.0148750003427267,0.0,0.0148125002160668,15936.0,15936.0,normal,SH
68,3000.0,5000.0,3000.0,5000.0,0.05,1.0,0.0,-1.65,1.0,0.9710000157356262,1.0,0.9718000292778016,4936.0,4936.0,normal,SH
69,4000.0,3000.0,3000.0,1000.0,0.59,3.95,0.0,-0.4100000000000001,1.0,0.9522500038146972,1.0,0.9545000195503236,3936.0,2936.0,normal,SH
70,3000.0,3000.0,3000.0,4000.0,0.67,3.09,0.0,-0.33,0.0,0.032999999821186,0.0,0.026750000193715,2936.0,3936.0,normal,SH
71,3000.0,1000.0,4000.0,1000.0,0.03,1.0,0.0,-1.18,1.0,0.968999981880188,1.0,0.95974999666214,2936.0,3936.0,normal,SH
72,3000.0,3000.0,3000.0,3000.0,0.51,1.0,0.0,-1.47,1.0,0.9570000171661376,1.0,0.9566666483879088,2936.0,2936.0,normal,SH
73,3000.0,4000.0,3000.0,4000.0,0.23,3.26,0.0,-0.77,0.0,0.0447500012814998,0.0,0.0492499992251396,3936.0,3936.0,normal,SH
74,3000.0,14000.0,3000.0,14000.0,0.64,2.83,0.0,-0.3599999999999999,0.0,0.0127857141196727,0.0,0.0142142856493592,13936.0,13936.0,normal,SH
75,3000.0,3000.0,3000.0,3000.0,0.18,2.92,0.0,-0.8199999999999998,0.0,0.0549999997019767,0.0,0.0566666685044765,2936.0,2936.0,normal,SH
76,3000.0,9000.0,9000.0,9000.0,0.69,3.09,0.0,-0.31,0.0,0.0324444435536861,0.0,0.0342222228646278,8936.0,8936.0,normal,SH
77,3000.0,6000.0,3000.0,6000.0,0.39,1.0,0.0,-1.31,1.0,0.9768333435058594,1.0,0.9815000295639038,5936.0,5936.0,normal,SH
78,3000.0,7000.0,3000.0,5000.0,0.93,1.43,0.0,-0.0699999999999998,0.0,0.0217142850160598,0.0,0.019571429118514,6936.0,4936.0,normal,SH
79,3000.0,7000.0,3000.0,9000.0,0.14,1.0,0.0,-1.4,1.0,0.983888864517212,1.0,0.9845555424690248,6936.0,8936.0,normal,SH
80,3000.0,9000.0,4000.0,8000.0,0.34,3.45,0.0,-0.6600000000000001,0.0,0.0156666673719882,0.0,0.016222221776843,8936.0,7936.0,normal,SH
81,6000.0,5000.0,3000.0,5000.0,0.12,2.49,0.0,-0.8800000000000003,0.0,0.0185000002384185,0.0,0.0234999991953372,5936.0,4936.0,normal,SH
