agent1_strategy,agent1_reward,agent2_strategy,agent2_reward,temptation,reward,punishment,sucker,agent1_final_strategy,agent1_defection_ratio,agent2_final_strategy,agent2_defection_ratio,agent1_updating_times,agent2_updating_times,model
3000.0,3000.0,3000.0,3000.0,1.01,1.0,0.0,-0.63,1.0,0.9586666822433472,1.0,0.9506666660308838,2936.0,2936.0,normal
30000.0,,,,1.6,1.0,0.0,-0.06,1.0,0.7822666764259338,1.0,0.7751333117485046,29936.0,,normal
5000.0,4000.0,7000.0,4000.0,1.27,1.0,0.0,-0.28,1.0,0.9570000171661377,1.0,0.9652857184410095,4936.0,6936.0,normal
3000.0,1000.0,4000.0,4000.0,1.62,1.0,0.0,-0.41,1.0,0.9710000157356262,1.0,0.96875,2936.0,3936.0,normal
3000.0,4000.0,3000.0,4000.0,2.65,1.0,0.0,-0.85,1.0,0.9674999713897705,1.0,0.9725000262260437,3936.0,3936.0,normal
3000.0,3000.0,3000.0,1000.0,1.32,1.0,0.0,-0.85,1.0,0.9670000076293945,1.0,0.9620000123977661,2936.0,2936.0,normal
3000.0,5000.0,3000.0,5000.0,1.68,1.0,0.0,-0.94,1.0,0.9746000170707703,1.0,0.9735999703407288,4936.0,4936.0,normal
4000.0,6000.0,5000.0,6000.0,1.81,1.0,0.0,-0.14,1.0,0.9703333377838135,1.0,0.9681666493415833,5936.0,5936.0,normal
4000.0,3000.0,4000.0,3000.0,1.17,1.0,0.0,-0.4,0.0,0.2529999911785126,0.0,0.24124999344348907,3936.0,3936.0,normal
4000.0,6000.0,6000.0,5000.0,1.01,1.0,0.0,-0.3,1.0,0.9208333492279053,1.0,0.9254999756813049,5936.0,5936.0,normal
4000.0,6000.0,3000.0,6000.0,1.44,1.0,0.0,-0.98,1.0,0.9771666526794434,1.0,0.9781666398048401,5936.0,5936.0,normal
,,,,1.01,1.0,0.0,-0.04,1.0,0.790233314037323,1.0,0.7179333567619324,,,normal
8000.0,10000.0,13000.0,11000.0,2.07,1.0,0.0,-0.18,1.0,0.9766153693199158,1.0,0.9670000076293945,9936.0,12936.0,normal
3000.0,1000.0,3000.0,3000.0,2.4,1.0,0.0,-0.79,1.0,0.9639999866485596,1.0,0.9636666774749756,2936.0,2936.0,normal
3000.0,3000.0,3000.0,3000.0,2.08,1.0,0.0,-0.82,1.0,0.9576666951179504,1.0,0.9623333215713501,2936.0,2936.0,normal
3000.0,10000.0,10000.0,10000.0,2.55,1.0,0.0,-0.82,1.0,0.9839000105857849,1.0,0.9819999933242798,9936.0,9936.0,normal
