agent1_strategy,agent1_reward,agent2_strategy,agent2_reward,temptation,reward,punishment,sucker,agent1_final_strategy,agent1_defection_ratio,agent2_final_strategy,agent2_defection_ratio,agent1_updating_times,agent2_updating_times,model
3000.0,3000.0,3000.0,3000.0,0.04,1.5,0.0,-0.96,0.0,0.03733333200216293,0.0,0.03799999877810478,2936.0,2936.0,normal
3000.0,3000.0,3000.0,3000.0,0.63,3.8,0.0,-0.3700000000000001,0.0,0.032999999821186066,0.0,0.030666666105389595,2936.0,2936.0,normal
13000.0,14000.0,3000.0,14000.0,0.32,2.9299999999999997,0.0,-0.6799999999999997,0.0,0.012142857536673546,0.0,0.012428571470081806,13936.0,13936.0,normal
11000.0,13000.0,3000.0,13000.0,0.51,2.3899999999999997,0.0,-0.48999999999999977,0.0,0.04907692223787308,0.0,0.0493076927959919,12936.0,12936.0,normal
3000.0,3000.0,3000.0,3000.0,0.9,1.0,0.0,-0.48,1.0,0.9456666707992554,1.0,0.9523333311080933,2936.0,2936.0,normal
3000.0,2000.0,3000.0,2000.0,0.25,1.0,0.0,-1.13,0.0,0.11533333361148834,0.0,0.11966666579246521,2936.0,2936.0,normal
3000.0,9000.0,3000.0,8000.0,0.41,1.0,0.0,-1.36,0.0,0.021111110225319862,0.0,0.01966666616499424,8936.0,7936.0,normal
3000.0,3000.0,3000.0,3000.0,0.75,3.46,0.0,-0.25,0.0,0.04066666588187218,0.0,0.03966666758060455,2936.0,2936.0,normal
3000.0,3000.0,3000.0,3000.0,0.23,2.4,0.0,-0.77,1.0,0.9490000009536743,1.0,0.9580000042915344,2936.0,2936.0,normal
3000.0,2000.0,4000.0,1000.0,0.09,2.83,0.0,-0.9099999999999999,1.0,0.968500018119812,1.0,0.968999981880188,2936.0,3936.0,normal
3000.0,1000.0,3000.0,4000.0,0.29,1.0,0.0,-1.6300000000000001,1.0,0.9697499871253967,1.0,0.9682499766349792,2936.0,3936.0,normal
3000.0,5000.0,3000.0,5000.0,0.17,3.88,0.0,-0.8300000000000001,0.0,0.025599999353289604,0.0,0.025200000032782555,4936.0,4936.0,normal
3000.0,4000.0,4000.0,4000.0,0.92,3.33,0.0,-0.08000000000000007,0.0,0.03500000014901161,0.0,0.028999999165534973,3936.0,3936.0,normal
4000.0,5000.0,4000.0,5000.0,0.8,1.0,0.0,-0.35,0.0,0.23899999260902405,0.0,0.23739999532699585,4936.0,4936.0,normal
3000.0,3000.0,3000.0,3000.0,0.63,1.0,0.0,-0.64,0.0,0.1926666647195816,0.0,0.19966666400432587,2936.0,2936.0,normal
