agent1_strategy,agent1_reward,agent2_strategy,agent2_reward,agent3_strategy,agent3_reward,temptation,reward,punishment,sucker,agent1_final_strategy,agent1_defection_ratio,agent1_updating_times,agent2_final_strategy,agent2_defection_ratio,agent2_updating_times,agent3_final_strategy,agent3_defection_ratio,agent3_updating_times,model,matching
3376.0,2040.0,3298.0,3298.0,3350.0,668.0,1.01,1.0,0.0,-0.63,1,0.9576421976089478,3366,1,0.962098240852356,3293,1,0.9585074782371521,3341,normal,random
2670.0,1996.0,2679.0,2035.0,2669.0,2669.0,1.01,1.0,0.0,-0.63,1,0.949438214302063,2665,1,0.9533408284187317,2673,1,0.9550393223762512,2662,normal,random
,,,,,,2.01,1.0,0.0,-0.06,1,0.7447050213813782,33468,1,0.6155296564102173,33402,0,0.5956361889839172,33130,normal,random
3976.0,6651.0,3983.0,3311.0,6063.0,6728.0,2.03,1.0,0.0,-0.28,1,0.971733570098877,6642,1,0.9772761464118958,6637,1,0.9753270149230957,6721,normal,random
3357.0,1990.0,4059.0,688.0,3277.0,1984.0,1.15,1.0,0.0,-0.41,1,0.9630086421966553,4050,1,0.9539295434951782,4049,1,0.9629155993461609,3901,normal,random
2689.0,2005.0,2651.0,1987.0,2678.0,2026.0,1.18,1.0,0.0,-0.85,1,0.9639270901679993,2682,1,0.9569973349571228,2646,1,0.9559372663497925,2672,normal,random
2634.0,2634.0,2685.0,2000.0,2705.0,2027.0,1.18,1.0,0.0,-0.85,1,0.9605163335800171,2624,1,0.9530726075172424,2677,1,0.9545286297798157,2699,normal,random
2635.0,672.0,2704.0,2704.0,2685.0,2685.0,1.45,1.0,0.0,-0.94,1,0.951423168182373,2627,1,0.9619082808494568,2698,1,0.9530726075172424,2675,normal,random
4707.0,4707.0,5283.0,3308.0,5350.0,6009.0,1.5,1.0,0.0,-0.14,1,0.9567870497703552,6057,1,0.9465186595916748,5941,1,0.9565651416778564,6002,normal,random
3355.0,681.0,3287.0,3287.0,3376.0,2723.0,1.49,1.0,0.0,-0.4,1,0.9576750993728638,3349,1,0.9586248993873596,3281,1,0.9656398296356201,3370,normal,random
3357.0,2674.0,4652.0,2656.0,4035.0,2688.0,1.24,1.0,0.0,-0.3,1,0.9282039999961853,4660,1,0.9591573476791382,4646,1,0.9340425729751587,4694,normal,random
12033.0,6702.0,11375.0,9364.0,10586.0,10586.0,1.01,1.0,0.0,-0.63,1,0.8921299576759338,920,1,0.897571861743927,930,1,0.8924316167831421,910,episodic_random,random
13997.0,32713.0,33327.0,,21329.0,,2.01,1.0,0.0,-0.06,1,0.907398521900177,2500,0,0.17151258885860443,2500,0,0.16461165249347687,2490,episodic_random,random
13313.0,,,,22648.0,33311.0,2.03,1.0,0.0,-0.28,1,0.924345850944519,2380,0,0.33928731083869934,2390,0,0.23748911917209625,2380,episodic_random,random
23282.0,33352.0,,33232.0,,33434.0,1.15,1.0,0.0,-0.41,1,0.9489685893058777,2620,1,0.8900758028030396,2590,1,0.8972004652023315,2640,episodic_random,random
13432.0,22738.0,23867.0,22564.0,20044.0,22716.0,1.18,1.0,0.0,-0.85,1,0.9286396503448486,1680,1,0.897641122341156,1730,1,0.9075427651405334,1700,episodic_random,random
11982.0,13337.0,13348.0,12057.0,13339.0,12674.0,1.18,1.0,0.0,-0.85,1,0.8997525572776794,980,1,0.8923434019088745,940,1,0.8929454684257507,930,episodic_random,random
12716.0,14720.0,13332.0,10024.0,13292.0,13953.0,1.45,1.0,0.0,-0.94,1,0.920448362827301,1120,1,0.9202454090118408,1130,1,0.9172819256782532,1070,episodic_random,random
11393.0,10045.0,12617.0,16517.0,11326.0,16737.0,1.5,1.0,0.0,-0.14,1,0.9118945598602295,1220,0,0.21450626850128174,1190,0,0.2185576856136322,1270,episodic_random,random
,31917.0,,,16637.0,,1.49,1.0,0.0,-0.4,0,0.5429121255874634,2490,0,0.6309751868247986,2550,1,0.9176203012466431,2520,episodic_random,random
,,30033.0,,33305.0,33305.0,1.24,1.0,0.0,-0.3,0,0.34643447399139404,2370,1,0.9250912666320801,2320,0,0.29343941807746887,2380,episodic_random,random
7263.0,5921.0,7318.0,6671.0,7233.0,6573.0,1.01,1.0,0.0,-0.63,1,0.9089908003807068,1010,1,0.898059606552124,1030,1,0.9007327556610107,1020,episodic_sequence,random
29756.0,,,,29044.0,,2.01,1.0,0.0,-0.06,1,0.8851091861724854,4370,1,0.8549447059631348,4430,1,0.7750182151794434,4320,episodic_sequence,random
,,,,,,2.03,1.0,0.0,-0.28,1,0.8392732739448547,4510,1,0.9062358140945435,4470,1,0.905773401260376,4440,episodic_sequence,random
7868.0,7204.0,7966.0,7966.0,7952.0,7295.0,1.15,1.0,0.0,-0.41,0,0.5564311146736145,1070,0,0.5603816509246826,1070,0,0.5785965919494629,1040,episodic_sequence,random
7230.0,9238.0,7924.0,9243.0,9247.0,3319.0,1.18,1.0,0.0,-0.85,1,0.9197878241539001,1310,1,0.9217786192893982,1290,1,0.9218124747276306,1320,episodic_sequence,random
7248.0,9226.0,7282.0,9272.0,7914.0,6620.0,1.18,1.0,0.0,-0.85,1,0.8886841535568237,1250,1,0.9226704239845276,1220,1,0.9144465923309326,1230,episodic_sequence,random
8651.0,7969.0,8568.0,9200.0,7897.0,9238.0,1.45,1.0,0.0,-0.94,1,0.9175623655319214,1270,1,0.9177173972129822,1260,1,0.9122104644775391,1250,episodic_sequence,random
,,31000.0,,13901.0,30482.0,1.5,1.0,0.0,-0.14,0,0.1465258151292801,4460,0,0.14549198746681213,4440,1,0.9394598603248596,4420,episodic_sequence,random
