strategy_convergent_episode,network_convergent_episode,temptation,reward,punishment,sucker,final_strategy,defection_ratio,R+S-T-P,model
15898.0,16324.0,1.01,1.0,0.0,-0.63,1.0,0.8632075190544128,-0.64,DQN
15898.0,30523.0,1.6,1.0,0.0,-0.06,1.0,0.9202896356582642,-0.6600000000000001,DQN
15898.0,16324.0,1.27,1.0,0.0,-0.28,1.0,0.8401739597320557,-0.55,DQN
15898.0,16682.0,1.62,1.0,0.0,-0.41,1.0,0.8851456642150879,-1.03,DQN
15898.0,20992.0,2.65,1.0,0.0,-0.85,1.0,0.9078696370124817,-2.5,DQN
15898.0,17781.0,1.32,1.0,0.0,-0.85,1.0,0.8884764909744263,-1.17,DQN
15898.0,30523.0,1.68,1.0,0.0,-0.94,1.0,0.9352946877479553,-1.6199999999999999,DQN
40578.0,55000.0,1.81,1.0,0.0,-0.14,1.0,0.9555187821388245,-0.9500000000000001,DQN
38628.0,38884.0,1.17,1.0,0.0,-0.4,0.0,0.8858656287193298,-0.57,DQN
15898.0,27098.0,1.01,1.0,0.0,-0.3,1.0,0.8854159116744995,-0.31000000000000005,DQN
15898.0,19648.0,1.44,1.0,0.0,-0.98,1.0,0.9018220901489258,-1.42,DQN
20404.0,20992.0,1.01,1.0,0.0,-0.04,0.0,0.26100417971611023,-0.050000000000000044,DQN
15898.0,34626.0,2.07,1.0,0.0,-0.18,1.0,0.9022988677024841,-1.2499999999999998,DQN
15898.0,34626.0,2.4,1.0,0.0,-0.79,1.0,0.9423843622207642,-2.19,DQN
15898.0,34626.0,2.08,1.0,0.0,-0.82,1.0,0.9423843622207642,-1.9,DQN
15898.0,20992.0,2.55,1.0,0.0,-0.82,1.0,0.9078696370124817,-2.3699999999999997,DQN
15898.0,34626.0,2.32,1.0,0.0,-0.7,1.0,0.9423843622207642,-2.0199999999999996,DQN
15898.0,16324.0,1.12,1.0,0.0,-0.48,1.0,0.8668830990791321,-0.6000000000000001,DQN
15898.0,34626.0,2.37,1.0,0.0,-0.57,1.0,0.9423843622207642,-1.94,DQN
40578.0,55000.0,1.83,1.0,0.0,-0.71,1.0,0.9586689472198486,-1.54,DQN
15898.0,34626.0,2.08,1.0,0.0,-0.39,1.0,0.935395359992981,-1.4700000000000002,DQN
15898.0,20992.0,2.64,1.0,0.0,-0.86,1.0,0.9078696370124817,-2.5,DQN
15898.0,30523.0,1.41,1.0,0.0,-0.71,1.0,0.9333289861679077,-1.1199999999999999,DQN
15898.0,16324.0,1.01,1.0,0.0,-0.64,1.0,0.8632075190544128,-0.65,DQN
15898.0,30523.0,1.2,1.0,0.0,-0.55,1.0,0.9333289861679077,-0.75,DQN
40578.0,55000.0,1.41,1.0,0.0,-0.22,1.0,0.9367174506187439,-0.6299999999999999,DQN
15898.0,34626.0,2.43,1.0,0.0,-0.8,1.0,0.9423843622207642,-2.2300000000000004,DQN
15898.0,38310.0,2.25,1.0,0.0,-0.49,1.0,0.9475333094596863,-1.74,DQN
15898.0,27098.0,1.01,1.0,0.0,-0.41,1.0,0.887556254863739,-0.41999999999999993,DQN
15898.0,21552.0,1.9,1.0,0.0,-0.95,1.0,0.9101707339286804,-1.8499999999999999,DQN
15898.0,32049.0,1.47,1.0,0.0,-0.4,1.0,0.9380635619163513,-0.87,DQN
15898.0,30523.0,1.26,1.0,0.0,-0.83,1.0,0.9333289861679077,-1.0899999999999999,DQN
15898.0,16324.0,1.06,1.0,0.0,-0.94,1.0,0.879135012626648,-1.0,DQN
15898.0,16324.0,1.23,1.0,0.0,-0.06,1.0,0.7410560846328735,-0.29000000000000004,DQN
44491.0,48264.0,1.96,1.0,0.0,-0.04,0.0,0.10546162724494934,-1.0,DQN
17781.0,20811.0,1.26,1.0,0.0,-0.2,1.0,0.7925135493278503,-0.45999999999999996,DQN
40578.0,55000.0,1.79,1.0,0.0,-0.7,1.0,0.9586689472198486,-1.49,DQN
40578.0,43289.0,2.27,1.0,0.0,-0.9,1.0,0.9528055787086487,-2.17,DQN
17485.0,32049.0,1.36,1.0,0.0,-0.32,1.0,0.9122281670570374,-0.6800000000000002,DQN
15898.0,20992.0,2.5,1.0,0.0,-0.56,1.0,0.9078696370124817,-2.06,DQN
15898.0,20992.0,2.79,1.0,0.0,-0.88,1.0,0.9078696370124817,-2.67,DQN
15898.0,30523.0,1.24,1.0,0.0,-0.51,1.0,0.9352946877479553,-0.75,DQN
15898.0,21552.0,1.88,1.0,0.0,-0.97,1.0,0.9101707339286804,-1.8499999999999999,DQN
16682.0,27098.0,1.2,1.0,0.0,-0.1,1.0,0.7772898077964783,-0.29999999999999993,DQN
15898.0,30523.0,1.36,1.0,0.0,-0.74,1.0,0.9333289861679077,-1.1,DQN
15898.0,27098.0,1.01,1.0,0.0,-0.34,1.0,0.8854528069496155,-0.3500000000000001,DQN
15898.0,23720.0,1.95,1.0,0.0,-0.69,1.0,0.9180017113685608,-1.64,DQN
15898.0,24927.0,1.65,1.0,0.0,-0.49,1.0,0.9218116998672485,-1.14,DQN
