strategy_convergent_episode,network_convergent_episode,temptation,reward,punishment,sucker,final_strategy,defection_ratio,game
15898.0,16324.0,1.01,1.0,0.0,-0.63,1.0,0.8632075190544128,PD
40317.0,40468.0,1.6,1.0,0.0,-0.06,1.0,0.9022931456565857,PD
15898.0,16324.0,1.27,1.0,0.0,-0.28,1.0,0.8401739597320557,PD
15898.0,24927.0,1.62,1.0,0.0,-0.41,1.0,0.9218116998672485,PD
15898.0,20992.0,2.65,1.0,0.0,-0.85,1.0,0.9078696370124817,PD
15898.0,30523.0,1.32,1.0,0.0,-0.85,1.0,0.9333289861679077,PD
15898.0,30523.0,1.68,1.0,0.0,-0.94,1.0,0.9352946877479553,PD
15898.0,30523.0,1.81,1.0,0.0,-0.14,1.0,0.8898208141326904,PD
41690.0,55000.0,1.17,1.0,0.0,-0.4,1.0,0.8787582516670227,PD
15898.0,20992.0,1.01,1.0,0.0,-0.3,1.0,0.8751429319381714,PD
15898.0,19648.0,1.44,1.0,0.0,-0.98,1.0,0.9018220901489258,PD
15898.0,16324.0,1.01,1.0,0.0,-0.04,1.0,0.7684391140937805,PD
15898.0,34626.0,2.07,1.0,0.0,-0.18,1.0,0.9022988677024841,PD
15898.0,34626.0,2.4,1.0,0.0,-0.79,1.0,0.9423843622207642,PD
15898.0,34626.0,2.08,1.0,0.0,-0.82,1.0,0.9423843622207642,PD
15898.0,20992.0,2.55,1.0,0.0,-0.82,1.0,0.9078696370124817,PD
15898.0,34626.0,2.32,1.0,0.0,-0.7,1.0,0.9423843622207642,PD
15898.0,16324.0,1.12,1.0,0.0,-0.48,1.0,0.8668830990791321,PD
15898.0,34626.0,2.37,1.0,0.0,-0.57,1.0,0.9423843622207642,PD
15898.0,23720.0,1.83,1.0,0.0,-0.71,1.0,0.9180017113685608,PD
15898.0,34626.0,2.08,1.0,0.0,-0.39,1.0,0.9423843622207642,PD
15898.0,20992.0,2.64,1.0,0.0,-0.86,1.0,0.9078696370124817,PD
15898.0,30523.0,1.41,1.0,0.0,-0.71,1.0,0.9333289861679077,PD
15898.0,16324.0,1.01,1.0,0.0,-0.64,1.0,0.8632075190544128,PD
15898.0,30523.0,1.2,1.0,0.0,-0.55,1.0,0.9342790842056274,PD
40578.0,55000.0,1.41,1.0,0.0,-0.22,1.0,0.7805048227310181,PD
15898.0,34626.0,2.43,1.0,0.0,-0.8,1.0,0.9423843622207642,PD
15898.0,34093.0,2.25,1.0,0.0,-0.49,1.0,0.9414836168289185,PD
15898.0,20992.0,1.01,1.0,0.0,-0.41,1.0,0.8901486396789551,PD
15898.0,21552.0,1.9,1.0,0.0,-0.95,1.0,0.9101707339286804,PD
15898.0,32049.0,1.47,1.0,0.0,-0.4,1.0,0.9380635619163513,PD
15898.0,18906.0,1.26,1.0,0.0,-0.83,1.0,0.8949539661407471,PD
15898.0,16324.0,1.06,1.0,0.0,-0.94,1.0,0.8721514344215393,PD
15898.0,16324.0,1.23,1.0,0.0,-0.06,1.0,0.738115668296814,PD
