strategy_convergent_episode,network_convergent_episode,temptation,reward,punishment,sucker,final_strategy,defection_ratio,R+S-T-P,game,h
37565.0,39830.0,1.01,1.0,0.0,-0.63,1.0,0.8988953232765198,-0.64,PD,2
18091.0,19848.0,1.6,1.0,0.0,-0.06,1.0,0.8142886161804199,-0.6600000000000001,PD,2
15710.0,17781.0,1.27,1.0,0.0,-0.28,1.0,0.8517518639564514,-0.55,PD,2
17485.0,19848.0,1.62,1.0,0.0,-0.41,1.0,0.8602378368377686,-1.03,PD,2
29807.0,41583.0,2.65,1.0,0.0,-0.85,1.0,0.9501478672027588,-2.5,PD,2
37565.0,42275.0,1.32,1.0,0.0,-0.85,1.0,0.9376227259635924,-1.17,PD,2
29807.0,52000.0,1.68,1.0,0.0,-0.94,1.0,0.9565156698226928,-1.62,PD,2
29807.0,36434.0,1.81,1.0,0.0,-0.14,1.0,0.9008618593215942,-0.95,PD,2
29807.0,39601.0,1.17,1.0,0.0,-0.4,1.0,0.7274816036224365,-0.57,PD,2
21256.0,23555.0,1.01,1.0,0.0,-0.3,1.0,0.8829972147941589,-0.31,PD,2
16682.0,17781.0,1.44,1.0,0.0,-0.98,1.0,0.8863393664360046,-1.42,PD,2
16682.0,19648.0,1.01,1.0,0.0,-0.04,0.0,0.5734425783157349,-0.05,PD,2
29807.0,52000.0,2.07,1.0,0.0,-0.18,1.0,0.9269479513168336,-1.2499999999999998,PD,2
21256.0,27828.0,2.4,1.0,0.0,-0.79,1.0,0.928165853023529,-2.19,PD,2
29807.0,52000.0,2.08,1.0,0.0,-0.82,1.0,0.9581106901168824,-1.9,PD,2
29807.0,52000.0,2.55,1.0,0.0,-0.82,1.0,0.9581106901168824,-2.37,PD,2
29807.0,52000.0,2.32,1.0,0.0,-0.7,1.0,0.9581106901168824,-2.02,PD,2
29807.0,30523.0,1.12,1.0,0.0,-0.48,1.0,0.8948006629943848,-0.6000000000000001,PD,2
29807.0,52000.0,2.37,1.0,0.0,-0.57,1.0,0.9581106901168824,-1.94,PD,2
29807.0,52000.0,1.83,1.0,0.0,-0.71,1.0,0.9431772828102112,-1.54,PD,2
29807.0,35413.0,2.08,1.0,0.0,-0.39,1.0,0.8987659811973572,-1.4700000000000002,PD,2
29807.0,41583.0,2.64,1.0,0.0,-0.86,1.0,0.9501478672027588,-2.5,PD,2
29807.0,32049.0,1.41,1.0,0.0,-0.71,1.0,0.9320103526115416,-1.12,PD,2
38310.0,43588.0,1.01,1.0,0.0,-0.64,1.0,0.9243828654289246,-0.65,PD,2
29807.0,45658.0,1.2,1.0,0.0,-0.55,1.0,0.936221480369568,-0.75,PD,2
21256.0,27755.0,1.41,1.0,0.0,-0.22,1.0,0.8822554349899292,-0.6299999999999999,PD,2
21256.0,27828.0,2.43,1.0,0.0,-0.8,1.0,0.928165853023529,-2.2300000000000004,PD,2
29807.0,41583.0,2.25,1.0,0.0,-0.49,1.0,0.9482240080833436,-1.74,PD,2
29807.0,45658.0,1.01,1.0,0.0,-0.41,1.0,0.7546103596687317,-0.4199999999999999,PD,2
29807.0,52000.0,1.9,1.0,0.0,-0.95,1.0,0.9581106901168824,-1.85,PD,2
21256.0,27755.0,1.47,1.0,0.0,-0.4,1.0,0.8934966921806335,-0.87,PD,2
38310.0,45658.0,1.26,1.0,0.0,-0.83,1.0,0.9130929708480836,-1.09,PD,2
37565.0,39830.0,1.06,1.0,0.0,-0.94,1.0,0.9047702550888062,-1.0,PD,2
29532.0,40468.0,1.23,1.0,0.0,-0.06,0.0,0.2814322412014007,-0.29,PD,2
17781.0,19848.0,1.96,1.0,0.0,-0.04,1.0,0.8293530941009521,-1.0,PD,2
17781.0,18906.0,1.26,1.0,0.0,-0.2,1.0,0.8018618226051331,-0.4599999999999999,PD,2
21256.0,21552.0,1.79,1.0,0.0,-0.7,1.0,0.8741183876991272,-1.49,PD,2
29807.0,41583.0,2.27,1.0,0.0,-0.9,1.0,0.9501478672027588,-2.17,PD,2
29807.0,35797.0,1.36,1.0,0.0,-0.32,1.0,0.7234684228897095,-0.6800000000000002,PD,2
21256.0,27828.0,2.5,1.0,0.0,-0.56,1.0,0.928165853023529,-2.06,PD,2
29807.0,41583.0,2.79,1.0,0.0,-0.88,1.0,0.9501478672027588,-2.67,PD,2
29807.0,39830.0,1.24,1.0,0.0,-0.51,1.0,0.9197338819503784,-0.75,PD,2
21256.0,27755.0,1.88,1.0,0.0,-0.97,1.0,0.9280129671096802,-1.85,PD,2
29807.0,30523.0,1.2,1.0,0.0,-0.1,1.0,0.8348786234855652,-0.2999999999999999,PD,2
29807.0,32049.0,1.36,1.0,0.0,-0.74,1.0,0.91322660446167,-1.1,PD,2
29807.0,30523.0,1.01,1.0,0.0,-0.34,1.0,0.8846771121025085,-0.3500000000000001,PD,2
