,agent1_strategy_converge,agent1_reward_converge,agent1_network_converge,temptation,reward,punishment,sucker,agent1_final_strategy,agent1_defection_ratio,loss,agent1_playing_times,model,opponent,h,epsilon_decay,game
0,10000.0,7000.0,8000.0,1.92,1.0,0.0,-0.63,0,0.10369999706745148,0.06345378206957285,10000,DQN,TitForTat,1,0.95,PD
1,3000.0,2000.0,3000.0,1.01,1.0,0.0,-0.06,0,0.010999999940395355,0.06227285020709978,3000,DQN,TitForTat,1,0.95,PD
2,3000.0,2000.0,3000.0,1.24,1.0,0.0,-0.28,0,0.009999999776482582,0.0654516614297675,3000,DQN,TitForTat,1,0.95,PD
3,3000.0,2000.0,3000.0,1.39,1.0,0.0,-0.41,0,0.010333333164453506,0.0658679945967845,3000,DQN,TitForTat,1,0.95,PD
4,4000.0,2000.0,3000.0,1.74,1.0,0.0,-0.85,0,0.009750000201165676,0.05091997512320017,4000,DQN,TitForTat,1,0.95,PD
5,,10000.0,,2.4,1.0,0.0,-0.85,0,0.5099999904632568,0.15294956328566875,10000,DQN,TitForTat,1,0.95,PD
6,3000.0,2000.0,3000.0,1.23,1.0,0.0,-0.94,0,0.010999999940395355,0.05725863395216087,3000,DQN,TitForTat,1,0.95,PD
7,3000.0,2000.0,3000.0,1.49,1.0,0.0,-0.14,0,0.009999999776482582,0.06908159145772734,3000,DQN,TitForTat,1,0.95,PD
8,4000.0,2000.0,3000.0,1.75,1.0,0.0,-0.4,0,0.009750000201165676,0.05154204898953612,4000,DQN,TitForTat,1,0.95,PD
9,6000.0,5000.0,5000.0,1.01,1.0,0.0,-0.3,0,0.04500000178813934,0.06449739455062647,6000,DQN,TitForTat,1,0.95,PD
10,,10000.0,,2.12,1.0,0.0,-0.98,0,0.4284000098705292,0.05182243413800105,10000,DQN,TitForTat,1,0.95,PD
11,3000.0,2000.0,3000.0,1.02,1.0,0.0,-0.04,0,0.010333333164453506,0.06276961319541939,3000,DQN,TitForTat,1,0.95,PD
12,3000.0,2000.0,3000.0,1.01,1.0,0.0,-0.18,0,0.009999999776482582,0.06447257998334498,3000,DQN,TitForTat,1,0.95,PD
13,6000.0,2000.0,5000.0,2.68,1.0,0.0,-0.79,0,0.0364999994635582,0.04106405175325474,6000,DQN,TitForTat,1,0.95,PD
14,,,,2.74,1.0,0.0,-0.82,1,0.5565000176429749,0.064655014860828,10000,DQN,TitForTat,1,0.95,PD
15,3000.0,2000.0,3000.0,2.43,1.0,0.0,-0.82,0,0.010999999940395355,0.06850906913515399,3000,DQN,TitForTat,1,0.95,PD
16,3000.0,2000.0,3000.0,1.38,1.0,0.0,-0.7,0,0.010333333164453506,0.06487432038687772,3000,DQN,TitForTat,1,0.95,PD
17,3000.0,2000.0,3000.0,1.01,1.0,0.0,-0.48,0,0.010333333164453506,0.061101026277943934,3000,DQN,TitForTat,1,0.95,PD
18,4000.0,2000.0,3000.0,2.01,1.0,0.0,-0.57,0,0.009750000201165676,0.05248754725484092,4000,DQN,TitForTat,1,0.95,PD
19,,,10000.0,1.64,1.0,0.0,-0.71,1,0.5389999747276306,0.07801404930904435,10000,DQN,TitForTat,1,0.95,PD
20,3000.0,2000.0,3000.0,1.92,1.0,0.0,-0.63,0,0.020666666328907013,0.07158905760748985,3000,DQN,TitForTat,1,0.99,PD
21,,4000.0,,1.01,1.0,0.0,-0.06,1,0.515500009059906,0.07802594437974943,10000,DQN,TitForTat,1,0.99,PD
22,,,,1.24,1.0,0.0,-0.28,0,0.5364000201225281,0.08233090836523593,10000,DQN,TitForTat,1,0.99,PD
23,,,,1.39,1.0,0.0,-0.41,0,0.5335000157356262,0.08296824047734346,10000,DQN,TitForTat,1,0.99,PD
24,,,10000.0,1.74,1.0,0.0,-0.85,0,0.5166000127792358,0.06945749513094032,10000,DQN,TitForTat,1,0.99,PD
25,,10000.0,,2.4,1.0,0.0,-0.85,0,0.5080000162124634,0.15105978985711274,10000,DQN,TitForTat,1,0.99,PD
26,,10000.0,,1.23,1.0,0.0,-0.94,0,0.3598000109195709,0.039148686190649956,10000,DQN,TitForTat,1,0.99,PD
27,,3000.0,,1.49,1.0,0.0,-0.14,0,0.5214999914169312,0.1258394588447343,10000,DQN,TitForTat,1,0.99,PD
28,,8000.0,,1.75,1.0,0.0,-0.4,1,0.5134000182151794,0.13411986643452709,10000,DQN,TitForTat,1,0.99,PD
29,,4000.0,,1.01,1.0,0.0,-0.3,0,0.3889999985694885,0.04992933461945334,10000,DQN,TitForTat,1,0.99,PD
30,,6000.0,9000.0,2.12,1.0,0.0,-0.98,0,0.5145999789237976,0.10066337794514414,10000,DQN,TitForTat,1,0.99,PD
31,,9000.0,,1.02,1.0,0.0,-0.04,1,0.536300003528595,0.08316651811202411,10000,DQN,TitForTat,1,0.99,PD
32,,,,1.01,1.0,0.0,-0.18,0,0.5349000096321106,0.06012143689489333,10000,DQN,TitForTat,1,0.99,PD
33,,10000.0,,2.68,1.0,0.0,-0.79,0,0.5076000094413757,0.19131649186392888,10000,DQN,TitForTat,1,0.99,PD
34,,10000.0,,2.74,1.0,0.0,-0.82,0,0.5067999958992004,0.19317528728861474,10000,DQN,TitForTat,1,0.99,PD
35,,10000.0,9000.0,2.43,1.0,0.0,-0.82,0,0.5076000094413757,0.159962562950943,10000,DQN,TitForTat,1,0.99,PD
36,,6000.0,,1.38,1.0,0.0,-0.7,0,0.42340001463890076,0.04618736155583573,10000,DQN,TitForTat,1,0.99,PD
37,,4000.0,,1.01,1.0,0.0,-0.48,0,0.3693999946117401,0.04911351789117665,10000,DQN,TitForTat,1,0.99,PD
38,,9000.0,,2.01,1.0,0.0,-0.57,0,0.510699987411499,0.14130277004079475,10000,DQN,TitForTat,1,0.99,PD
39,,,10000.0,1.64,1.0,0.0,-0.71,0,0.5264999866485596,0.07500926389014764,10000,DQN,TitForTat,1,0.99,PD
40,,9000.0,,1.92,1.0,0.0,-0.63,0,0.5110999941825867,0.1150960175575061,10000,DQN,TitForTat,1,0.995,PD
41,3000.0,2000.0,4000.0,1.01,1.0,0.0,-0.06,0,0.045249998569488525,0.043534366622154846,4000,DQN,TitForTat,1,0.995,PD
42,,,,1.24,1.0,0.0,-0.28,0,0.430400013923645,0.05946201485839729,10000,DQN,TitForTat,1,0.995,PD
43,3000.0,2000.0,4000.0,1.39,1.0,0.0,-0.41,0,0.02800000086426735,0.03987746674332986,4000,DQN,TitForTat,1,0.995,PD
44,,,,1.74,1.0,0.0,-0.85,0,0.4255000054836273,0.055731283997360055,10000,DQN,TitForTat,1,0.995,PD
45,6000.0,3000.0,6000.0,2.4,1.0,0.0,-0.85,0,0.08049999922513962,0.05992593927091337,6000,DQN,TitForTat,1,0.995,PD
46,3000.0,2000.0,4000.0,1.23,1.0,0.0,-0.94,0,0.06925000250339508,0.02043247106164389,4000,DQN,TitForTat,1,0.995,PD
47,,,,1.49,1.0,0.0,-0.14,0,0.49219998717308044,0.11507410267472515,10000,DQN,TitForTat,1,0.995,PD
48,6000.0,3000.0,5000.0,1.75,1.0,0.0,-0.4,0,0.047833334654569626,0.04458755165321646,6000,DQN,TitForTat,1,0.995,PD
49,,10000.0,,1.01,1.0,0.0,-0.3,0,0.3741999864578247,0.04331889026537615,10000,DQN,TitForTat,1,0.995,PD
50,6000.0,2000.0,4000.0,2.12,1.0,0.0,-0.98,0,0.052000001072883606,0.03913197624592436,6000,DQN,TitForTat,1,0.995,PD
51,,8000.0,,1.02,1.0,0.0,-0.04,0,0.4537999927997589,0.06042423914973979,10000,DQN,TitForTat,1,0.995,PD
52,3000.0,2000.0,4000.0,1.01,1.0,0.0,-0.18,0,0.02800000086426735,0.03727222294836551,4000,DQN,TitForTat,1,0.995,PD
53,,10000.0,,2.68,1.0,0.0,-0.79,0,0.5077000260353088,0.18956564892858996,10000,DQN,TitForTat,1,0.995,PD
54,,10000.0,,2.74,1.0,0.0,-0.82,0,0.5,0.18040238160275376,10000,DQN,TitForTat,1,0.995,PD
55,,10000.0,,2.43,1.0,0.0,-0.82,0,0.4991999864578247,0.13899483485098643,10000,DQN,TitForTat,1,0.995,PD
56,3000.0,2000.0,4000.0,1.38,1.0,0.0,-0.7,0,0.032249998301267624,0.03560784469808332,4000,DQN,TitForTat,1,0.995,PD
57,3000.0,2000.0,4000.0,1.01,1.0,0.0,-0.48,0,0.03424999862909317,0.02456485315141938,4000,DQN,TitForTat,1,0.995,PD
58,,,,2.01,1.0,0.0,-0.57,0,0.5016999840736389,0.12592163602249495,10000,DQN,TitForTat,1,0.995,PD
59,3000.0,2000.0,4000.0,1.64,1.0,0.0,-0.71,0,0.032499998807907104,0.039419714793639996,4000,DQN,TitForTat,1,0.995,PD
60,,8000.0,,1.92,1.0,0.0,-0.63,0,0.5192999839782715,0.160698601296051,10000,DQN,TitForTat,2,0.95,PD
61,,6000.0,,1.01,1.0,0.0,-0.06,1,0.5386000275611877,0.1318857083454188,10000,DQN,TitForTat,2,0.95,PD
62,,8000.0,,1.24,1.0,0.0,-0.28,1,0.5418000221252441,0.12588662555621424,10000,DQN,TitForTat,2,0.95,PD
63,,10000.0,,1.39,1.0,0.0,-0.41,1,0.5455999970436096,0.13268188043449108,10000,DQN,TitForTat,2,0.95,PD
64,,9000.0,,1.74,1.0,0.0,-0.85,1,0.5464000105857849,0.11025797274813255,10000,DQN,TitForTat,2,0.95,PD
65,,9000.0,,2.4,1.0,0.0,-0.85,0,0.5182999968528748,0.24700157244581894,10000,DQN,TitForTat,2,0.95,PD
66,7000.0,4000.0,6000.0,1.23,1.0,0.0,-0.94,0,0.04285714402794838,0.043336434111008744,7000,DQN,TitForTat,2,0.95,PD
67,4000.0,2000.0,3000.0,1.49,1.0,0.0,-0.14,0,0.011749999597668648,0.05462925692249576,4000,DQN,TitForTat,2,0.95,PD
68,10000.0,10000.0,10000.0,1.75,1.0,0.0,-0.4,0,0.13660000264644623,0.17964617558796442,10000,DQN,TitForTat,2,0.95,PD
69,,9000.0,,1.01,1.0,0.0,-0.3,1,0.5626999735832214,0.07933061715889153,10000,DQN,TitForTat,2,0.95,PD
70,,6000.0,,2.12,1.0,0.0,-0.98,0,0.5407000184059143,0.15553613431137187,10000,DQN,TitForTat,2,0.95,PD
71,,,,1.02,1.0,0.0,-0.04,1,0.5523999929428101,0.13212992523786574,10000,DQN,TitForTat,2,0.95,PD
72,,7000.0,,1.01,1.0,0.0,-0.18,1,0.558899998664856,0.1029925442230427,10000,DQN,TitForTat,2,0.95,PD
73,,10000.0,,2.68,1.0,0.0,-0.79,0,0.5188999772071838,0.35855344559566044,10000,DQN,TitForTat,2,0.95,PD
74,,10000.0,,2.74,1.0,0.0,-0.82,1,0.5199000239372253,0.4063923275516334,10000,DQN,TitForTat,2,0.95,PD
75,,,,2.43,1.0,0.0,-0.82,0,0.5175999999046326,0.2641701524567537,10000,DQN,TitForTat,2,0.95,PD
76,,,,1.38,1.0,0.0,-0.7,1,0.5651999711990356,0.07240143759243453,10000,DQN,TitForTat,2,0.95,PD
77,7000.0,5000.0,6000.0,1.01,1.0,0.0,-0.48,0,0.05528571456670761,0.04531215352155123,7000,DQN,TitForTat,2,0.95,PD
78,4000.0,4000.0,4000.0,2.01,1.0,0.0,-0.57,0,0.023000000044703484,0.05629554094783197,4000,DQN,TitForTat,2,0.95,PD
79,10000.0,7000.0,9000.0,1.64,1.0,0.0,-0.71,0,0.12630000710487366,0.09863262346540672,10000,DQN,TitForTat,2,0.95,PD
80,,10000.0,,1.92,1.0,0.0,-0.63,1,0.6478000283241272,0.1391170076509843,10000,DQN,TitForTat,2,0.99,PD
81,6000.0,3000.0,5000.0,1.01,1.0,0.0,-0.06,0,0.0794999971985817,0.03751159388803733,6000,DQN,TitForTat,2,0.99,PD
82,6000.0,2000.0,5000.0,1.24,1.0,0.0,-0.28,0,0.028166666626930237,0.041144447393797065,6000,DQN,TitForTat,2,0.99,PD
83,6000.0,2000.0,5000.0,1.39,1.0,0.0,-0.41,0,0.02616666629910469,0.0411296818060725,6000,DQN,TitForTat,2,0.99,PD
84,,,,1.74,1.0,0.0,-0.85,0,0.5102999806404114,0.098869839427715,10000,DQN,TitForTat,2,0.99,PD
85,,,,2.4,1.0,0.0,-0.85,1,0.6769999861717224,0.12871047642615013,10000,DQN,TitForTat,2,0.99,PD
86,,4000.0,,1.23,1.0,0.0,-0.94,0,0.3628000020980835,0.07005707777881379,10000,DQN,TitForTat,2,0.99,PD
87,,10000.0,,1.49,1.0,0.0,-0.14,0,0.42260000109672546,0.16200523422001573,10000,DQN,TitForTat,2,0.99,PD
88,,10000.0,,1.75,1.0,0.0,-0.4,1,0.6521999835968018,0.10310692301437732,10000,DQN,TitForTat,2,0.99,PD
89,6000.0,2000.0,5000.0,1.01,1.0,0.0,-0.3,0,0.044333335012197495,0.03990627339611032,6000,DQN,TitForTat,2,0.99,PD
